Page,Latency
1,15.33611512184143
2,26.331107139587402
3,23.62794804573059
4,30.746479988098145
5,37.85157299041748
6,33.88794994354248
7,24.945178985595703
8,32.07975196838379
9,36.15626811981201
10,29.673569917678833
11,29.705648183822632
12,32.64807200431824
13,27.733859300613403
14,31.2549250125885
15,32.7493200302124
16,29.284848928451538
17,30.404924869537354
18,35.32714772224426
19,32.35275626182556
20,31.93034791946411
21,35.83724093437195
22,30.874253034591675
23,38.53882431983948
24,29.99853539466858
25,35.73441982269287
26,8.694446802139282
27,13.821789026260376
28,7.503710031509399
29,8.564029932022095
30,19.579944133758545
31,17.895099878311157
32,16.27418065071106
33,18.32384204864502
34,17.219774961471558
35,18.100553035736084
36,15.512587785720825
37,17.362889051437378
38,18.603864908218384
39,15.834351062774658
40,12.117775678634644
41,6.146203994750977
42,8.705806016921997
43,7.573153018951416
44,20.680556774139404
45,18.016846179962158
46,5.189042329788208
