Page Number,Latency
1,1.0605120658874512
2,1.4916269779205322
3,1.215458869934082
4,2.214310884475708
5,2.1249840259552
6,2.1951680183410645
7,1.8273301124572754
8,2.0483250617980957
9,2.1994857788085938
10,2.1177568435668945
11,2.0604312419891357
12,2.199801206588745
13,2.2765212059020996
14,2.047434091567993
15,2.044764995574951
16,1.8549258708953857
17,2.4323089122772217
18,2.37597393989563
19,2.2858119010925293
20,2.2628090381622314
21,2.3335418701171875
22,2.116001844406128
23,2.1715118885040283
24,2.0847690105438232
25,2.347217321395874
26,0.5829041004180908
27,0.8985397815704346
28,0.44141578674316406
29,0.5712277889251709
30,1.0858922004699707
31,1.1412651538848877
32,1.2707161903381348
33,1.286480188369751
34,1.1460840702056885
35,1.1796138286590576
36,1.1482276916503906
37,1.1949188709259033
38,1.3462128639221191
39,1.134247064590454
40,0.8660321235656738
41,0.5427520275115967
42,0.5885577201843262
43,0.6506068706512451
44,1.0348758697509766
45,1.070556879043579
46,0.3969717025756836
